layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
Nivelación alta presición,4.874,4.89649,0.022,Humedales de relieves de la antigua albusfera
Nivelación alta presición,1.995,2.52956,0.535,Humedales de fajas de espiras del Parana y sus distributarios
Nivelación alta presición,2.199,2.72163,0.523,Humedales de fajas de espiras del Parana y sus distributarios
Nivelación alta presición,2.369,2.45506,0.086,Humedales de la planicie deltaica superior
Nivelación alta presición,2.04,1.32369,-0.716,Humedales de Crestas de Playa
Nivelación alta presición,2.917,1.78891,-1.128,Humedales de Crestas de Playa
Nivelación alta presición,1.88,1.35922,-0.521,Humedales de Crestas de Playa
Nivelación alta presición,2.367,1.87074,-0.496,Humedales de Crestas de Playa
Nivelación alta presición,2.931,2.22723,-0.704,Humedales de la planicie deltaica superior
Nivelación alta presición,2.213,1.29154,-0.921,Humedales de Crestas de Playa
Nivelación alta presición,3.111,2.54341,-0.568,Humedales de la planicie deltaica superior
Nivelación alta presición,2.18,2.24464,0.065,Humedales de la planicie deltaica superior
Nivelación alta presición,4.332,2.795,-1.537,Humedales de fajas de espiras del Parana y sus distributarios
Nivelación alta presición,2.058,1.71352,-0.344,Humedales de Crestas de Playa
Nivelación alta presición,3.316,1.91167,-1.404,Humedales de la planicie deltaica superior
Nivelación alta presición,2.763,3.44125,0.678,Humedales de Crestas de Playa
Nivelación alta presición,2.874,2.27036,-0.604,Humedales de Crestas de Playa
Nivelación alta presición,2.466,1.84417,-0.622,Humedales de Crestas de Playa
Nivelación alta presición,1.999,1.3667,-0.632,Humedales de Crestas de Playa
Nivelación alta presición,2.07,1.4516,-0.618,Humedales de Crestas de Playa
Nivelación alta presición,2.615,2.15636,-0.459,Humedales de la planicie deltaica superior
Nivelación alta presición,5.814,5.37793,-0.436,Humedales de relieves de la antigua albusfera
Nivelación alta presición,5.578,5.24028,-0.338,Humedales de relieves de la antigua albusfera
Nivelación alta presición,2.39,1.49685,-0.893,Humedales de Crestas de Playa
Nivelación alta presición,2.566,2.60589,0.04,Humedales de la planicie deltaica superior
Nivelación alta presición,2.679,1.9605,-0.718,Humedales de la planicie deltaica superior
Nivelación alta presición,2.658,2.22908,-0.429,Humedales de la planicie deltaica superior
Nivelación alta presición,2.55,2.39189,-0.158,Humedales de la planicie deltaica superior
Nivelación alta presición,6.055,5.561,-0.494,Humedales de relieves de la antigua albusfera
Nivelación alta presición,3.047,2.80537,-0.242,Humedales de la planicie deltaica superior
Nivelación alta presición,2.437,2.10065,-0.336,Humedales de Crestas de Playa
Nivelación alta presición,3.024,1.80164,-1.222,Humedales de Crestas de Playa
Nivelación alta presición,2.913,2.58998,-0.323,Humedales de la planicie deltaica superior
Nivelación alta presición,5.768,5.55046,-0.218,Humedales de relieves de la antigua albusfera
Nivelación alta presición,2.052,1.37017,-0.682,Humedales de Crestas de Playa
Nivelación alta presición,2.51,2.51988,0.01,Humedales de la planicie deltaica superior
Nivelación alta presición,2.797,1.95557,-0.841,Humedales de Crestas de Playa
Nivelación alta presición,2.213,1.61281,-0.6,Humedales de Crestas de Playa
Nivelación precisión,6.181,5.52322,-0.658,Humedales de relieves de la antigua albusfera
Nivelación precisión,5.584,4.95852,-0.625,Humedales de relieves de la antigua albusfera
Nivelación precisión,7.866,5.113,-2.753,Humedales de Crestas de Playa
Nivelación precisión,7.261,3.84975,-3.411,Humedales de los relieves de Ibicuy
Nivelación precisión,5.227,4.36163,-0.865,Humedales de Crestas de Playa
Nivelación precisión,8.421,5.13257,-3.288,Humedales de Crestas de Playa
Nivelación precisión,5.352,5.01093,-0.341,Humedales de los relieves de Ibicuy
Nivelación precisión,3.216,3.12477,-0.091,Humedales de Crestas de Playa
Nivelación precisión,2.15,2.28853,0.139,Humedales de Crestas de Playa
Nivelación precisión,5.15,4.0231,-1.127,Humedales de los relieves de Ibicuy
Nivelación precisión,5.543,2.77724,-2.766,Humedales de los relieves de Ibicuy
Nivelación precisión,5.652,4.21732,-1.435,Humedales de relieves de la antigua albusfera
Nivelación precisión,4.1,2.63839,-1.462,Humedales de Crestas de Playa
Nivelación precisión,3.508,4.05305,0.545,Humedales de los relieves de Ibicuy
Nivelación precisión,4.799,2.45352,-2.345,Humedales de Crestas de Playa
Nivelación precisión,3.72,3.44817,-0.272,Humedales de Crestas de Playa
Nivelación precisión,2.465,1.68869,-0.776,Humedales de Crestas de Playa
Nivelación precisión,7.52,3.69365,-3.826,Humedales de Crestas de Playa
Nivelación precisión,5.113,4.34169,-0.771,Humedales de Crestas de Playa
Nivelación topográfica,1.585,1.16515,-0.42,Humedales de la planicie deltaica superior
Nivelación topográfica,1.9,1.1973,-0.703,Humedales de la planicie deltaica superior
Nivelación topográfica,2.03,1.05938,-0.971,Humedales de la planicie deltaica superior
Nivelación topográfica,3.219,1.29191,-1.927,Humedales de Crestas de Playa
